source,row_type,scenario,phase,category,bucket_tokens,decode_batch,latency_ms,kernel_source,provenance,coverage_note,target_missing_ms,reconstructed_missing_ms,reconstruction_error_pct,reconstruction_gate,mechanism_verdict,phase437_target,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,collective_other,8000,1,1.158904,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,1,289.663536,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,2,549.247992,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,3,549.106017,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,4,549.089798,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,5,549.416735,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,6,548.789821,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,7,670.764750,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,8,551.611723,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
phase436_serving_state_grid,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,9,424.905264,phase436_serving_state_grid,phase429_reprofile_w0_prefill_step_bucket,8k serving prefill step bucket; no decode_batch extrapolation,,,,,serving_state_grid_rebuilt_from_step_trace_no_extrapolation,serving_state_grid_gpu_collection_design,false,false,true,true,false,false,No-Go
