scenario,phase,operation,source_index,source_type,source_id,data_file_sha256,query_key,row_key,domain,support_keys,formula_id,formula_inputs,original_source,anchor_id,scale,scope,approved,transforms
K2.5-tp8ep8-8k2k,context,context_add_norm_1,0,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":458752000,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
K2.5-tp8ep8-8k2k,context,context_add_norm_1,1,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":126844928,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
K2.5-tp8ep8-8k2k,context,context_add_norm_1,2,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":7569408,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
K2.5-tp8ep8-8k2k,context,context_add_norm_1,3,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":7454720,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
K2.5-tp8ep8-8k2k,context,context_add_norm_1,4,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":7512064,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
K2.5-tp8ep8-8k2k,context,context_add_norm_1,5,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":7741440,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
K2.5-tp8ep8-8k2k,context,context_add_norm_1,6,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":8028160,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
K2.5-tp8ep8-8k2k,context,context_add_norm_1,7,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":8486912,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
K2.5-tp8ep8-8k2k,context,context_add_norm_1,8,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":9117696,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
K2.5-tp8ep8-8k2k,context,context_add_norm_1,9,structural,memory_empirical_bandwidth_v1,,{},{},{},[],memory_empirical_bandwidth_v1,"{""database_mode"":""SILICON"",""mem_bw"":4800000000000,""mem_bw_empirical_scaling_factor"":0.8,""mem_bytes"":9863168,""mem_empirical_constant_latency"":3e-06}",,,,{},True,"[{""factor"":61.0,""operation"":""multiply""}]"
