source,row_type,scenario,phase,category,bucket_tokens,decode_batch,latency_ms,kernel_source,provenance,coverage_note,target_missing_ms,reconstructed_missing_ms,reconstruction_error_pct,reconstruction_gate,mechanism_verdict,phase436_target,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-32k3k,mixed_prefill,collective_other,32000,0,348.179960,phase435_serving_state,phase433_nsys_prefill_category_mean,32k serving prefill category mean; decode_batch endpoints cover observed 0..8 mixed range,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-32k3k,mixed_prefill,collective_other,32000,8,348.179960,phase435_serving_state,phase433_nsys_prefill_category_mean,32k serving prefill category mean; decode_batch endpoints cover observed 0..8 mixed range,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-32k3k,mixed_prefill,ep_a2a,32000,0,1917.743178,phase435_serving_state,phase433_nsys_prefill_category_mean,32k serving prefill category mean; decode_batch endpoints cover observed 0..8 mixed range,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-32k3k,mixed_prefill,ep_a2a,32000,8,1917.743178,phase435_serving_state,phase433_nsys_prefill_category_mean,32k serving prefill category mean; decode_batch endpoints cover observed 0..8 mixed range,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-32k3k,mixed_prefill,moe_gemm_or_aux,32000,0,1143.462225,phase435_serving_state,phase433_nsys_prefill_category_mean,32k serving prefill category mean; decode_batch endpoints cover observed 0..8 mixed range,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-32k3k,mixed_prefill,moe_gemm_or_aux,32000,8,1143.462225,phase435_serving_state,phase433_nsys_prefill_category_mean,32k serving prefill category mean; decode_batch endpoints cover observed 0..8 mixed range,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-32k3k,mixed_prefill,other_cuda,32000,0,495.698383,phase435_serving_state,phase433_nsys_prefill_category_mean,32k serving prefill category mean; decode_batch endpoints cover observed 0..8 mixed range,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-32k3k,mixed_prefill,other_cuda,32000,8,495.698383,phase435_serving_state,phase433_nsys_prefill_category_mean,32k serving prefill category mean; decode_batch endpoints cover observed 0..8 mixed range,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,consistency_gate,K2.5-tp4ep8dp2-32k3k,mixed_prefill,,,,,phase435_serving_state,,serving-state categories reconstruct prior residual within tolerance,2900.316853,2751.035801,5.147060,passed,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,1,536.123072,phase435_serving_state,phase429_reprofile_w0_prefill_window_mean,8k serving prefill window mean across observed decode_batch 1..34,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,8000,34,536.123072,phase435_serving_state,phase429_reprofile_w0_prefill_window_mean,8k serving prefill window mean across observed decode_batch 1..34,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,moe_gemm_or_aux,8000,1,301.111439,phase435_serving_state,phase429_reprofile_w0_prefill_window_mean,8k serving prefill window mean across observed decode_batch 1..34,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,moe_gemm_or_aux,8000,34,301.111439,phase435_serving_state,phase429_reprofile_w0_prefill_window_mean,8k serving prefill window mean across observed decode_batch 1..34,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
phase435_serving_state,serving_curve,K2.5-tp4ep8dp2-8k2k,mixed_prefill,other_cuda,8000,1,165.148096,phase435_serving_state,phase429_reprofile_w0_prefill_window_mean,8k serving prefill window mean across observed decode_batch 1..34,,,,,mechanism_unresolved_store_serving_state_measurement,validate_acceptance_protocol_or_serving_state_scope_extension,false,false,true,true,false,false,No-Go
