source,row_type,candidate,workload,mixed_iters,prefill_iters,split_mixed_exact_hit,merged_mixed_exact_hit,saturated_mixed_iters,recommendation,verdict,model,hardware,vllm_version,topology,ep8_buckets,fusedmoe_buckets,next_allowed_phase,exact_lookup_only,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,runtime_modified,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase393_module_query_granularity_decision_spec,root_cause,,10k2k_b32_bt8192,,,,,,,3pass_queries_prefill_chunk_token_count_while_real_vllm_fused_moe_runs_on_merged_batch,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,evidence_phase124,,10k2k_b32_bt8192,,,,,,,phase124_moe_activation_tokens_actual_is_8192_merged_not_8191_split,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,probe_split_granularity,split_prefill_chunk_current,10k2k_b32_bt8192,118,2,0/118,,,,split_granularity_misses_all_mixed_iterations,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,probe_merged_granularity,merged_batch_tokens,10k2k_b32_bt8192,118,2,,110/118,112,,merged_granularity_makes_93pct_mixed_iterations_exact,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,candidate_merged_granularity,merged_batch_tokens,10k2k_b32_bt8192,,,,,,recommended_primary,query_moe_and_ep8_at_prefill_tokens_plus_decode_bs; attention stays_split; not_a_lookup_relaxation_not_a_scheduler_rewrite,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,candidate_bucketization_contract,round_up_to_materialized_bucket,10k2k_b32_bt8192,,,,,,fallback_for_non_saturated_tail_iters,explicit_quantization_contract_relaxes_exact_only; only_if_merged_granularity_leaves_gaps,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,candidate_scheduler_alignment,rewrite_cbsim_scheduler_token_accounting,10k2k_b32_bt8192,,,,,,last_resort,highest_risk_touches_scheduler_defer_unless_needed,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,residual_non_saturated,,10k2k_b32_bt8192,,,,,,,8_of_118_mixed_iters_are_non_saturated_tail_merged_token_not_8192_handle_in_phase394,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,decode_residual_deferred,,10k2k_b32_bt8192,,,,,,,decode_2_01x_small_bucket_moe_and_ep8_alltoall_comm_deferred_to_gpu_measurement_phase_not_this_phase,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,verdict,,10k2k_b32_bt8192,,,,,,recommended_primary,adopt_merged_granularity_for_moe_ep8_module_query; 0_to_93pct_mixed_reachability_without_lookup_relaxation_or_gpu,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,phase394_merged_granularity_runtime_change_and_bare_error_remeasure,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase393_module_query_granularity_decision_spec,next_phase,,10k2k_b32_bt8192,,,,,,,phase394_runtime_change_merged_query_then_remeasure_bare_error_vs_ground_truth,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,1/2/15/16/30/32/241/482/1808/2048/3616/4096/8192/16384,phase394_merged_granularity_runtime_change_and_bare_error_remeasure,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
