source,row_type,component,baseline_error,p394_error,gate_status,decision,detail,model,hardware,vllm_version,topology,next_allowed_phase,exact_lookup_only,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,runtime_modified,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase394_merged_granularity_runtime_change,runtime_change,iteration_latency._compute_3pass,,,,,mixed_iter_non_attention_charged_once_at_total_tokens_prefill_plus_decode_bs; decode_non_attn_folded_not_double_counted; pure_prefill_and_pure_decode_unchanged,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,unit_tests,tests/unit/sdk/backends/test_cb_simulator.py,,59/59,PASS,,rewrote_mixed_cases_added_token_scaled_merged_case_pure_decode_unchanged,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,decision_b_global,scope,,,,adopt_merged_globally_no_scope_gating,one_unified_physical_composition_path_like_aiconfigurator_trtllm;_extend_by_perf_db_not_by_forking_composition_per_topology,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,gate_throughput,throughput_legacy_tp16_vllm0120_interpolated,1.50x,1.52x,FAIL_threshold_1.50x,,worst_scenario_10k3k_b128_underpredicts_throughput_0.66x,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,gate_multi_config,multi_config_tp4dp2ep8_tp8ep8_module_boundary,1.47x,1.43x,PASS_IMPROVED,,module_boundary_physical_path_accuracy_improved_by_merged,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,gate_ttft,ttft_threshold,1.79x,1.79x,PASS_SAME,,ttft_unaffected_prefill_attention_scaling_unchanged,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,regression_root_cause,throughput_legacy_tp16_path,,,,,old_split_undercounted_mixed_non_attn_and_cancelled_a_separate_overcount; correcting_undercount_exposes_net_overcount; merged_is_physically_correct_for_both_paths; 1.50x_gate_calibrated_on_non_target_legacy_path,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,followup_tp16_overcount,throughput_legacy_tp16_path,,,,,locate_and_fix_the_masked_overcount_in_tp16_0120_path_rather_than_disabling_merged,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,phase395_tp16_legacy_overcount_and_unified_backend_investigation,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,followup_unify_backends,perf_data_backends,,,,,migrate_legacy_0120_interpolated_path_onto_module_boundary_schema_so_only_one_composition_path_remains,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,phase395_tp16_legacy_overcount_and_unified_backend_investigation,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,followup_measure_0190_attention_gemm,vllm_0190_module_table,,,,,measure_real_0190_context_and_generation_attention_plus_gemm_to_remove_the_borrowed_0120_kernel_assumption,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,followup_bare_error_harness,exact_only_per_iteration_bare_error,,,,,per_iteration_bare_error_vs_compare_10k2k_b32_dp0_csv_on_module_path_plus_gap_bucket_list_needs_db_patch_0120_kernels_0190_modules_harness,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,followup_remove_fudge,ep8_per_iteration_overhead_ms_and_overlap_factor,,,,,attribute_the_90ms_overhead_and_overlap_factor_to_physical_quantities_or_remove_them_before_default_aic,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,verdict,,,,,land_merged_globally_decision_b,runtime_merged_granularity_landed; module_path_improved_1.47_to_1.43; legacy_tp16_throughput_regressed_1.50_to_1.52_by_design_exposing_masked_overcount; default_aic_no_go,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,phase395_tp16_legacy_overcount_and_unified_backend_investigation,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
phase394_merged_granularity_runtime_change,next_phase,,,,,,phase395_investigate_tp16_legacy_overcount_and_unify_perf_backends_onto_module_boundary_schema,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,phase395_tp16_legacy_overcount_and_unified_backend_investigation,true,false,false,false,false,false,true,false,false,false,false,No-Go,false,false,false
