section,metric,value,target,status,note
wait_pattern,scenario,K2.5-tp4ep8dp2-8k2k,,,
wait_pattern,victim_pairs,24,24,,
wait_pattern,recompute_from_zero,24,24,pass,
wait_pattern,chunk_fit_after_free,24,24,pass,sim chunk-fit gate would consider these victims schedulable
wait_pattern,wait_p50_s,47.413822,,,
wait_pattern,wait_p90_s,81.264014,,,
wait_pattern,wait_min_s,0.958761,,,
wait_pattern,wait_max_s,87.720675,,,
wait_pattern,metrics_poll_interval_s,2.00962,,,
wait_pattern,completion_aligned_share,1,>=0.80,pass,
wait_pattern,immediate_reentry_within_one_poll,2,,,
wait_pattern,free_after_free_p50_blocks,554.5,,,
wait_pattern,free_after_alloc_p50_blocks,1238.5,,,
wait_pattern,full_headroom_after_alloc_p50_blocks,684,,,
source_gap,vllm_waiting_gate,scheduler_reserve_full_isl + can_fit_full_sequence,vllm/v1/core/sched/scheduler.py:733-744,source_located,waiting request breaks before allocate_slots when full sequence cannot fit
source_gap,vllm_full_sequence_blocks,full_num_tokens -> get_num_blocks_to_allocate,vllm/v1/core/kv_cache_manager.py:218-254,source_located,docstring says this prevents over-admitting chunked prefill
source_gap,cbsim_current_gate,scheduled chunk only,cb_simulator/scheduler.py:208-216,gap,cb_sim appends chunk then checks current scheduled blocks only
verdict,verdict,admission_headroom_supported,"chunk-fit enough, but real reentry waits for completion wave",pass,
post_fix,sim_preemption_events_after_fix,192,~24 real observed victims,partial,Phase451D forensics rerun after full-sequence admission gate
post_fix,sim_throughput_tok_s_gpu_after_fix,155.535661,,,
post_fix,remaining_thrash_repeat_victim,120,,,
post_fix,remaining_decode_growth_pressure,66,,,
post_fix,phase451e_runtime_fix_gate,blocked_pending_unique_semantic_fix,declared metrics pass,blocked,headroom gate removes one cause but does not close all declared metrics
validate,dp2_8k2k_error_ratio,1.136279,<=1.15,pass,post-headroom default validate multi-config
validate,multi_config_max_error_ratio,1.438569,<=1.50 default gate; <=1.15 target criterion,pass_default_open_15pct,max_scenario=K2.5-tp8ep8-8k2k
validate,multi_config_mean_error_ratio,1.191294,,,
victim_pair,pair_00,cmpl-a7c7f29cd1a880e6-0-85386c20,wait_s=87.721,completion_aligned,"free_after_free=500, needed_preempt=500, free_after_alloc=2047, nearest_success_delta_s=-0.517"
victim_pair,pair_01,cmpl-98ca6ab1f2baf333-0-9759f4a4,wait_s=87.720,completion_aligned,"free_after_free=500, needed_preempt=500, free_after_alloc=2047, nearest_success_delta_s=-0.517"
victim_pair,pair_02,cmpl-8189085d7e9684ea-0-b1c8d7cd,wait_s=81.264,completion_aligned,"free_after_free=509, needed_preempt=509, free_after_alloc=1923, nearest_success_delta_s=0.592"
victim_pair,pair_03,cmpl-9ea14ecb557c1315-0-b10432b1,wait_s=81.264,completion_aligned,"free_after_free=509, needed_preempt=509, free_after_alloc=1923, nearest_success_delta_s=0.592"
victim_pair,pair_04,cmpl-856d056e272de274-0-a0ddb376,wait_s=74.834,completion_aligned,"free_after_free=519, needed_preempt=519, free_after_alloc=1800, nearest_success_delta_s=-0.305"
victim_pair,pair_05,cmpl-837a953098c94ff7-0-aac07768,wait_s=74.834,completion_aligned,"free_after_free=519, needed_preempt=519, free_after_alloc=1800, nearest_success_delta_s=-0.305"
victim_pair,pair_06,cmpl-8a4fef79b6133046-0-ba5cbb4c,wait_s=68.084,completion_aligned,"free_after_free=528, needed_preempt=528, free_after_alloc=1675, nearest_success_delta_s=0.811"
victim_pair,pair_07,cmpl-9e1859231b6330e0-0-93d05715,wait_s=68.084,completion_aligned,"free_after_free=528, needed_preempt=528, free_after_alloc=1675, nearest_success_delta_s=0.811"
victim_pair,pair_08,cmpl-bc49032ffce01a2a-0-923a74df,wait_s=59.892,completion_aligned,"free_after_free=539, needed_preempt=539, free_after_alloc=1425, nearest_success_delta_s=0.981"
victim_pair,pair_09,cmpl-9476405eee4317ef-0-ba982e26,wait_s=59.892,completion_aligned,"free_after_free=539, needed_preempt=539, free_after_alloc=1426, nearest_success_delta_s=0.981"
victim_pair,pair_10,cmpl-ab1f1144f196ccc5-0-8db2aae5,wait_s=51.787,completion_aligned,"free_after_free=549, needed_preempt=549, free_after_alloc=1301, nearest_success_delta_s=0.051"
victim_pair,pair_11,cmpl-86f9ecc3b9944b1f-0-891df60f,wait_s=51.787,completion_aligned,"free_after_free=549, needed_preempt=549, free_after_alloc=1301, nearest_success_delta_s=0.051"
victim_pair,pair_12,cmpl-ac129238772d717a-0-af38b79e,wait_s=43.041,completion_aligned,"free_after_free=560, needed_preempt=560, free_after_alloc=1176, nearest_success_delta_s=-0.889"
victim_pair,pair_13,cmpl-839707070aec583d-0-88902bcd,wait_s=43.041,completion_aligned,"free_after_free=560, needed_preempt=560, free_after_alloc=1176, nearest_success_delta_s=-0.889"
victim_pair,pair_14,cmpl-96ba6d071e92d73c-0-b4a71f75,wait_s=34.473,completion_aligned,"free_after_free=571, needed_preempt=571, free_after_alloc=1050, nearest_success_delta_s=0.174"
victim_pair,pair_15,cmpl-96286fe47af9ffd8-0-b872cfc7,wait_s=34.472,completion_aligned,"free_after_free=571, needed_preempt=571, free_after_alloc=1050, nearest_success_delta_s=0.174"
victim_pair,pair_16,cmpl-b07d904e8b50c4c2-0-81531ebb,wait_s=25.870,completion_aligned,"free_after_free=583, needed_preempt=583, free_after_alloc=925, nearest_success_delta_s=-0.785"
victim_pair,pair_17,cmpl-9d5a134c26b81319-0-81026af1,wait_s=25.870,completion_aligned,"free_after_free=583, needed_preempt=583, free_after_alloc=925, nearest_success_delta_s=-0.785"
victim_pair,pair_18,cmpl-91d59ae1c0d73b53-0-a42fa83a,wait_s=17.879,completion_aligned,"free_after_free=595, needed_preempt=595, free_after_alloc=800, nearest_success_delta_s=0.331"
victim_pair,pair_19,cmpl-a348671def3d6ae4-0-89820eb0,wait_s=17.879,completion_aligned,"free_after_free=595, needed_preempt=595, free_after_alloc=800, nearest_success_delta_s=0.332"
victim_pair,pair_20,cmpl-a1880bf90d77f55c-0-8504f54e,wait_s=10.275,completion_aligned,"free_after_free=608, needed_preempt=608, free_after_alloc=675, nearest_success_delta_s=0.551"
victim_pair,pair_21,cmpl-86536ea9845f4065-0-83cb96ea,wait_s=10.274,completion_aligned,"free_after_free=608, needed_preempt=608, free_after_alloc=675, nearest_success_delta_s=0.552"
victim_pair,pair_22,cmpl-ade7bf230cb80137-0-b5dc2cd2,wait_s=1.000,completion_aligned,"free_after_free=621, needed_preempt=621, free_after_alloc=675, nearest_success_delta_s=-0.038"
victim_pair,pair_23,cmpl-868b431ee8176230-0-acc20841,wait_s=0.959,completion_aligned,"free_after_free=621, needed_preempt=621, free_after_alloc=677, nearest_success_delta_s=0.003"
