source,row_type,scenario,phase,category,miss_reason,classification,grid_axis,collection_required,expected,bucket_tokens,decode_batch,bucket_min,bucket_max,decode_batch_min,decode_batch_max,unique_points,count,collection_note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,decode,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,7,12,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,decode,collective_other,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,,,,,,,2,8,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,7,12,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,,,,,,,2,8,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,decode,moe_gemm_or_aux,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,7,12,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,decode,moe_gemm_or_aux,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,,,,,,,2,8,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,decode,other_cuda,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,7,12,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,decode,other_cuda,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,,,,,,,2,8,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,32,32,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,collective_other,decode_batch_above_range,in_scope_grid_gap,decode_batch_high,true,true,,,,,,,1,1,collect higher decode_batch grid points for this phase/category,false,false,false,false,false,true,No-Go
