section,scenario,metric,bucket_tokens,decode_batch,value,target,status,note
coverage_summary,K2.5-tp8ep8-32k3k,query_count,,,131,,pass,candidate_cells=55
coverage_summary,K2.5-tp8ep8-32k3k,unique_query_cells,,,107,,pass,candidate_cells=55
coverage_summary,K2.5-tp8ep8-32k3k,covered_query_count,,,82,,pass,candidate_cells=55
coverage_summary,K2.5-tp8ep8-32k3k,uncovered_query_count,,,49,,pass,candidate_cells=55
coverage_summary,K2.5-tp8ep8-32k3k,uncovered_unique_cells,,,46,,pass,candidate_cells=55
coverage_summary,K2.5-tp8ep8-32k3k,coverage_ratio,,,0.6259541984732825,1.0,fail,candidate_cells=55
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,24,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,36,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,37,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,38,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,40,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,41,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,50,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,56,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,57,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,58,13,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,62,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,65,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,69,12,2,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,70,12,3,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,71,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,72,13,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,75,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,76,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,78,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,79,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,80,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,81,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,84,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,195,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,248,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,282,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,388,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,478,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,563,12,1,0,fail,inner_only has no complete token+batch bracket
uncovered_query_cell,K2.5-tp8ep8-32k3k,query_count,590,12,1,0,fail,inner_only has no complete token+batch bracket
