source,row_type,scenario,category,metric,batch_low,batch_high,real_value,sim_value,counterfactual_value,gap_value,verdict,source_file,source_lines,phase430_runtime_target,phase430_perfdb_target,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase430_bubble_mla_fix,summary,K2.5-tp4ep8dp2-8k2k,,phase430_verdict,,,steady_penalty=1.516977,pure_prefill_overlap_removed,decode_mla_moe_recollect_required,,phase430_fix_a_applied_fix_b_requires_gpu_recollect,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,source_basis,K2.5-tp4ep8dp2-8k2k,prefill_serialization,prepare_then_fused_experts_then_finalize_call_order,,,,,,,prepare_then_fused_experts_then_finalize_call_order,vllm/model_executor/layers/fused_moe/modular_kernel.py,"1072-1158,1160-1221,1223-1303,1356-1381",prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,source_basis,K2.5-tp4ep8dp2-8k2k,prefill_serialization,deepep_prepare_waits_for_hook_receiver_and_finalize_combines,,,,,,,deepep_prepare_waits_for_hook_receiver_and_finalize_combines,vllm/model_executor/layers/fused_moe/prepare_finalize/deepep_ll.py,"363-389,391-465",prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,source_basis,K2.5-tp4ep8dp2-8k2k,prefill_serialization,naive_dp_ep_dispatch_then_weight_reduce_then_combine,,,,,,,naive_dp_ep_dispatch_then_weight_reduce_then_combine,vllm/model_executor/layers/fused_moe/prepare_finalize/naive_dp_ep.py,"103-141,143-165",prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,fix_a,K2.5-tp4ep8dp2-8k2k,pure_prefill,serial_sum_green,,,,23.000000,15.000000_before_overlap0,8.000000,fixed_pure_prefill_no_overlap_lane_drop,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,fix_a,K2.5-tp4ep8dp2-8k2k,mixed_prefill,phase429_prefill_bubble,,,wall_mean_ms=1479.296759,bubble_mean_ms=411.796940,decode_batch_mean=16.486486,,mixed_branch_already_serial_bubble_not_a_simple_overlap_switch,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,decode_slope,K2.5-tp4ep8dp2-8k2k,dense_gemm,ms_per_request,8,52,0.017480,0.004317,,0.013163,decode_slope_ok,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,decode_slope,K2.5-tp4ep8dp2-8k2k,ep_a2a,ms_per_request,8,52,0.070353,0.003887,,0.066466,ep_a2a_decode_slope_undercharged_secondary,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,decode_slope,K2.5-tp4ep8dp2-8k2k,memcpy_memset,ms_per_request,8,52,0.002244,0.000000,,0.002244,decode_slope_ok,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,decode_slope,K2.5-tp4ep8dp2-8k2k,mla_attention,ms_per_request,8,52,0.215499,0.197075,,0.018424,mla_slope_near_real_but_joint_recollect_recommended,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,decode_slope,K2.5-tp4ep8dp2-8k2k,moe_gemm_or_aux,ms_per_request,8,52,0.164715,-0.147130,moe_perf_table_slope=0.040210,0.311845,moe_decode_sol_slope_wrong_sign_recollect_required,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,decode_slope,K2.5-tp4ep8dp2-8k2k,other_cuda,ms_per_request,8,52,0.016603,0.001874,,0.014729,decode_slope_ok,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,decode_slope,K2.5-tp4ep8dp2-8k2k,tp_or_dp_allreduce,ms_per_request,8,52,0.010351,0.015279,,-0.004928,decode_slope_ok,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,coverage,K2.5-tp4ep8dp2-8k2k,mla_attention,generation_mla_perf_grid,1,1024,step_min=1,step_max=131071,,,mla_decode_grid_covers_high_batch_but_slope_is_slightly_low,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,coverage,K2.5-tp4ep8dp2-8k2k,moe_gemm_or_aux,moe_perf_int4_wo_grid,1,32768,,,,,moe_decode_table_exists_but_current_query_routes_to_phase397v_sol,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,validate_after,K2.5-tp4ep8dp2-8k2k,multi_config,validate_cb_simulator_after,,,max=2.55,mean=1.48,,,multi_config_still_fails_dp2_8k2k,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,validate_after,K2.5-tp8ep8-8k2k,multi_config,scenario_ratio,,,133.5,167.0,,1.25,pass,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,validate_after,K2.5-tp8ep8-32k3k,multi_config,scenario_ratio,,,52.5,56.1,,1.07,pass,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,validate_after,K2.5-tp4ep8dp2-8k2k,multi_config,scenario_ratio,,,137.7,351.6,,2.55,fail,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,validate_after,K2.5-tp4ep8dp2-32k3k,multi_config,scenario_ratio,,,53.3,92.4,,1.73,fail,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,validate_after,K2.5-tp8ep8-8k2k-bt65536,multi_config,scenario_ratio,,,138.5,155.1,,1.12,pass,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,validate_after,K2.5-tp4ep8dp2-8k2k-bt65536,multi_config,scenario_ratio,,,113.9,101.1,,0.89,pass,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,phase431_recollect,K2.5-tp4ep8dp2-8k2k,mla_attention,gpu_recollect_generation_mla_heads16_batch8_16_32_64_128_kv8192_float16,,,,,,,required_before_perfdb_or_default_change,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,phase431_recollect,K2.5-tp4ep8dp2-8k2k,moe_gemm_or_aux,gpu_recollect_int4_wo_marlin_decode_batch8_16_32_64_128_tp4dp2ep8,,,,,,,required_before_perfdb_or_default_change,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
phase430_bubble_mla_fix,phase431_recollect,K2.5-tp4ep8dp2-8k2k,ep_a2a,gpu_profile_decode_ep_a2a_latency_floor_batch_sweep,,,,,,,required_before_perfdb_or_default_change,,,prefill_serial_sum_only,mla_moe_decode_recollect_required,true,false,false,false,No-Go
