source,row_type,scenario,metric,value_a,value_b,ratio,verdict,model,hardware,vllm_db_version,real_baseline_version,topology,next_allowed_phase,runtime_modified,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase397i_prefill_mixed_accounting,hypothesis_under_test,,is_ep8_overprediction_real_or_stale_0p17_artifact,397c-397h chased an ep8 'over-prediction' (1.16x-3.22x) measured against a stale vLLM 0.17 real baseline,"397i realigns to in-repo Phase164 0.19.0 real (same shapes, same H200 box) and takes a real per-iter TPOT capture (authorized)",,RESOLVED below: vs 0.19.0 the sim UNDER-predicts; its decode iter is ~3x too slow. The 'over-prediction' was a stale-0.17 artifact.,kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397i_prefill_mixed_accounting,baseline_realign,tp8ep8-8k2k,sim_vs_0p17_vs_0p19_real,real 0.17=133.53 -> sim/0.17=1.16x (looked like over-prediction),real 0.19.0=437.89 -> sim/0.19.0=0.354x (actually under-prediction),0.3544,"SIGN FLIPS: over vs 0.17, under vs 0.19.0",kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397i_prefill_mixed_accounting,baseline_realign,tp8ep8-8k2k-bt65536,sim_vs_0p17_vs_0p19_real,real 0.17=138.47 -> sim/0.17=1.12x (looked like over-prediction),real 0.19.0=432.36 -> sim/0.19.0=0.358x (actually under-prediction),0.3584,"SIGN FLIPS: over vs 0.17, under vs 0.19.0",kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397i_prefill_mixed_accounting,baseline_realign,tp4ep8dp2-8k2k,sim_vs_0p17_vs_0p19_real,real 0.17=137.72 -> sim/0.17=1.88x (looked like over-prediction),real 0.19.0=343.64 -> sim/0.19.0=0.753x (actually under-prediction),0.7528,"SIGN FLIPS: over vs 0.17, under vs 0.19.0",kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397i_prefill_mixed_accounting,baseline_realign,tp4ep8dp2-8k2k-bt65536,sim_vs_0p17_vs_0p19_real,real 0.17=155.95 -> sim/0.17=1.65x (looked like over-prediction),real 0.19.0=401.20 -> sim/0.19.0=0.640x (actually under-prediction),0.6398,"SIGN FLIPS: over vs 0.17, under vs 0.19.0",kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397i_prefill_mixed_accounting,real_tpot,tp8ep8-8k2k,real_pure_decode_iter_vs_sim_steady_iter,"real 0.19.0 pure-decode iter=34.29ms (p99=36.90, bs~128/replica)",sim steady decode iter=103.0ms (overhead=0),3.004,sim decode iter 3.0x TOO SLOW vs 0.19.0 -> under-predicts throughput (0.36x real),kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397i_prefill_mixed_accounting,real_tpot,tp4ep8dp2-8k2k,real_pure_decode_iter_vs_sim_steady_iter,"real 0.19.0 pure-decode iter=44.12ms (p99=46.46, bs~64/replica)",sim steady decode iter=123.6ms (overhead=0),2.801,sim decode iter 2.8x TOO SLOW vs 0.19.0 -> under-predicts throughput (0.74x real),kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397i_prefill_mixed_accounting,decode_moe_oversized,tp8ep8-8k2k,sim_generation_moe_vs_real_full_decode_iter,sim generation_moe (0.12.0 DB) ~= 71.8ms all-layer at tp8dp1 (decode token-count is CORRECT here: 128 = real bs),real 0.19.0 FULL decode iter (MoE+attn+comm+dense) =34.29ms,2.094,"sim MoE alone > 2x the entire real iter -> decode-MoE magnitude (0.12.0 DB) is the primary over-cost, present even at correct tp8 token-count",kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397i_prefill_mixed_accounting,dp_tokencount_error,tp4ep8dp2-8k2k,sim_decode_tokens_per_replica_vs_real,sim charges decode/MoE at bs*attention_dp=256 tokens on ONE bs=128 replica,real 0.19.0 splits concurrency across 2 DP replicas: ~64 tokens/replica (DP0 bs72 / DP1 bs56),4.0,secondary dp modeling error (per-replica bs and MoE token-count over-stated ~4x); but decode-MoE magnitude dominates even at tp8dp1,kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397i_prefill_mixed_accounting,refute_397h_composition,tp4ep8dp2-8k2k,397h_claimed_decode_iter_124ms_matches_measured,397h reconciled sim 123.6ms with a per-call fusedmoe module x ~45 layers (~124ms) and declared the decode composition correct,real 0.19.0 pure-decode iter=44.1ms /replica -- ~2.8x smaller than sim 123.6ms,2.801,REFUTED: the per-call x layer-count reconstruction over-counted MoE; the measured decode iter is ~3x below the sim,kimi-k2.5,h200_sxm,0.12.0,0.19.0,ep8_multi_config,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
