section,side,metric,value,target,status,source,note
sim_event,sim,step,8176,8176,matched,,
sim_event,sim,trigger_relation,trigger_is_tail_and_victim,complete queue/block context,observed,diagnostic subclass over production AsyncCBScheduler,trigger=96; position=13/13; waiting=31
sim_event,sim,block_shortage,1,1,aligned,,total=28826; capacity=28825
sim_event,sim,running_order,"[83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96]",,observed,,"[{""request_id"": 83, ""position"": 0, ""state"": ""DECODING"", ""sampled_output_tokens"": 955, ""computed_output_tokens"": 955, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 84, ""position"": 1, ""state"": ""DECODING"", ""sampled_output_tokens"": 954, ""computed_output_tokens"": 954, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 85, ""position"": 2, ""state"": ""DECODING"", ""sampled_output_tokens"": 953, ""computed_output_tokens"": 953, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 86, ""position"": 3, ""state"": ""DECODING"", ""sampled_output_tokens"": 952, ""computed_output_tokens"": 952, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 87, ""position"": 4, ""state"": ""DECODING"", ""sampled_output_tokens"": 951, ""computed_output_tokens"": 951, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 88, ""position"": 5, ""state"": ""DECODING"", ""sampled_output_tokens"": 950, ""computed_output_tokens"": 950, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 89, ""position"": 6, ""state"": ""DECODING"", ""sampled_output_tokens"": 949, ""computed_output_tokens"": 949, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 90, ""position"": 7, ""state"": ""DECODING"", ""sampled_output_tokens"": 948, ""computed_output_tokens"": 948, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 91, ""position"": 8, ""state"": ""DECODING"", ""sampled_output_tokens"": 947, ""computed_output_tokens"": 947, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 92, ""position"": 9, ""state"": ""DECODING"", ""sampled_output_tokens"": 946, ""computed_output_tokens"": 946, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 93, ""position"": 10, ""state"": ""DECODING"", ""sampled_output_tokens"": 945, ""computed_output_tokens"": 945, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 94, ""position"": 11, ""state"": ""DECODING"", ""sampled_output_tokens"": 944, ""computed_output_tokens"": 944, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2060, ""preemptions_before"": 0}, {""request_id"": 95, ""position"": 12, ""state"": ""DECODING"", ""sampled_output_tokens"": 943, ""computed_output_tokens"": 943, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2059, ""preemptions_before"": 0}, {""request_id"": 96, ""position"": 13, ""state"": ""DECODING"", ""sampled_output_tokens"": 736, ""computed_output_tokens"": 736, ""output_placeholders"": 1, ""prefill_tokens_remaining"": 0, ""scheduled_tokens"": 1, ""blocks_after_schedule"": 2047, ""preemptions_before"": 0}]"
source_legality,vllm,self_preemption_branch,source_legal,source-derived,pass,vllm scheduler.py:460-510; kv_cache_manager.py:360-389,fcfs_allocation_failure_pops_running_tail_equal_to_trigger
first_divergence,both,macro_state_match,waiting_running_block_shortage_aligned,same macro state,aligned,,waiting=31; running=14; shortage=1
first_divergence,both,trigger_tail_relation,sim=true;real=false,same relation,diverged,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,real_trigger_tokens=32944; real_victim_tokens=32729
source_legality,vllm,scheduler_sha256,9f3da2dfce94963e1e1cefc156e4239120f79c6eaf824b2829cac0ee7736b58a,,verified,deployed vLLM 0.19 source,
source_legality,vllm,kv_manager_sha256,0df69b7626195cbaabb33013d1e05ba6660243369171367f87313e4221bfffc8,,verified,deployed vLLM 0.19 source,
real_evidence,real_2b,complete_pairs,10,,observed,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,
real_evidence,real_2b,decisions,10,,observed,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,
real_evidence,real_2b,tail_policy_decisions,10,,observed,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,
real_evidence,real_2b,trigger_tail_events,0,,observed,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,
real_evidence,real_2b,unique_victims,10,,observed,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,
real_evidence,real_2b,waiting_count_min,3,,observed,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,
real_evidence,real_2b,waiting_count_max,114,,observed,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,
real_evidence,real_2b,running_counts_before_pop,[14],,observed,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,
real_evidence,real_2b,one_block_short_events,10,,observed,docs/iter_gap_investigation/phase462_preemption_observation/preemption_observation.jsonl,
real_evidence,phase458,trigger_victim_relation_observable,False,True,insufficient,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log; docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/metrics.jsonl.gz,serve log and Prometheus scrape lack trigger/victim ids
decision,both,step2c2b_action,keep_gate_and_investigate_state_evolution,preregistered decision fork,blocked,,exact_real_run_has_no_trigger_tail_event;phase458_relation_not_observable
decision,both,gate_change_allowed,False,False,pass,,gate cannot be tailored to sim output
decision,both,next_real_probe,same_protocol_queue_order_logging,user confirmation before GPU,proposed,,"record per-step running order, trigger index, tail id, computed/placeholder/block state; duration need not increase"
boundary,report,diagnostic_only,True,,pass,,
boundary,report,valid_for_default,False,,pass,,
boundary,report,perf_database,False,,pass,,
boundary,report,default_aic,No-Go,,blocked,,
