source,row_type,scenario,metric,value_a,value_b,ratio,verdict,model,hardware,vllm_db_version,topology,next_allowed_phase,runtime_modified,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase397c_tp16_decode_accumulation_composition,correction_retraction,,phase397b_mtp_claim,claimed:real_config_num_nextn_predict_layers=1,actual:kimi_config_has_no_nextn;nextn=0;mtp_scale=1.0;only_real_trace_speculative_config=None,,"RETRACTED: the num_nextn_predict_layers=1 came from the collector DeepSeek-V3 fake config, NOT the sim Kimi config; MTP is not a current sim-side inflation source",kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397c_tp16_decode_accumulation_composition,mechanism_ruled_out,,tp16_pure_decode_composition,per_iteration_overhead_ms=0 (default; 90ms only for 8-GPU EP8),"overlap_factor=0 -> iter_lat=max(gen_non_attn,gen_attn) (NOT serial sum)",,overhead_ruled_out; overlap_serial_sum_ruled_out; mtp_ruled_out_no_repo_evidence,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397c_tp16_decode_accumulation_composition,canonical_wall_split,10k3k_b128,decode_wall_pct_vs_mixed_wall_pct_of_steady_wall,decode=754175ms(94.74%),mixed=5.26%,0.9474,canonical steady wall is decode-skip-trapezoid dominated (single pure-decode iters ~negligible),kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397c_tp16_decode_accumulation_composition,canonical_wall_split,10k2k_b32,decode_wall_pct_vs_mixed_wall_pct_of_steady_wall,decode=458200ms(92.29%),mixed=7.71%,0.9229,canonical steady wall is decode-skip-trapezoid dominated (single pure-decode iters ~negligible),kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397c_tp16_decode_accumulation_composition,canonical_wall_split,16k2k_b32,decode_wall_pct_vs_mixed_wall_pct_of_steady_wall,decode=495461ms(90.84%),mixed=9.16%,0.9084,canonical steady wall is decode-skip-trapezoid dominated (single pure-decode iters ~negligible),kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397c_tp16_decode_accumulation_composition,decode_iter_composition,10k3k_b128,puredecode_single_iter_gen_attn_vs_gen_non_attn,gen_attn=27.120ms,gen_non_attn=6.885ms(/tp_size),3.939,iter_lat=max()=gen_attn; gen_non_attn(decode MoE) masked and already /tp_size scaled -> per-iter decode is under-counted,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397c_tp16_decode_accumulation_composition,decode_iter_composition,10k2k_b32,puredecode_single_iter_gen_attn_vs_gen_non_attn,gen_attn=12.350ms,gen_non_attn=5.282ms(/tp_size),2.338,iter_lat=max()=gen_attn; gen_non_attn(decode MoE) masked and already /tp_size scaled -> per-iter decode is under-counted,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397c_tp16_decode_accumulation_composition,decode_iter_composition,16k2k_b32,puredecode_single_iter_gen_attn_vs_gen_non_attn,gen_attn=18.750ms,gen_non_attn=5.282ms(/tp_size),3.550,iter_lat=max()=gen_attn; gen_non_attn(decode MoE) masked and already /tp_size scaled -> per-iter decode is under-counted,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397c_tp16_decode_accumulation_composition,trapezoid_vs_periter_reconciliation,10k3k_b128,canonical_trapezoid_decode_wall_over_expand_periter_sum,trapezoid=754175ms,expand_periter_sum=236647ms,3.187,trapezoid over-counts the SAME decode iters vs the true per-iteration sum; the ~135ms/iter figure was steady_wall/steady_iters (a counting artifact),kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397c_tp16_decode_accumulation_composition,trapezoid_vs_periter_reconciliation,10k2k_b32,canonical_trapezoid_decode_wall_over_expand_periter_sum,trapezoid=458200ms,expand_periter_sum=163721ms,2.799,trapezoid over-counts the SAME decode iters vs the true per-iteration sum; the ~135ms/iter figure was steady_wall/steady_iters (a counting artifact),kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
