source,row_type,scenario,metric,value_a,value_b,ratio,verdict,model,hardware,vllm_db_version,real_baseline_version,topology,next_allowed_phase,runtime_modified,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase397j_dp_concurrency_split,hypothesis_under_test,,does_dp_concurrency_split_fix_the_tp_vs_tpdp_ranking,"the cb_sim agg path ran the deployment's full concurrency b on ONE dp replica (concurrency=b) and charged the MoE op at b*attention_dp tokens, so a tp4dp2 config modeled 2x the real global concurrency and 2x MoE tokens",phase397j interprets b as GLOBAL concurrency and splits it per replica (per_replica=ceil(b/dp)); a real DP benchmark specifies a global max-concurrency (tp4dp2 128 total -> ~64/replica; measured DP0 72 / DP1 56),,RESOLVED below: the fix restores the tp8-vs-tp4dp2 per-GPU ranking to match real (both ~equal) and is bit-for-bit identical for dp=1; the absolute under-prediction residual is a separate DB-version issue,kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397j_dp_concurrency_split,dp_tokencount_fix,tp8ep8-8k2k,per_replica_bs__moe_tokens__global_bs__before_to_after,"BEFORE: per_replica_bs=128, moe_tokens=128, global_bs=128","AFTER: per_replica_bs=128, moe_tokens=128, global_bs=128 (real gathered decode tokens ~= 128)",1.00,dp=1 UNCHANGED (no-op),kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397j_dp_concurrency_split,dp_tokencount_fix,tp4ep8dp2-8k2k,per_replica_bs__moe_tokens__global_bs__before_to_after,"BEFORE: per_replica_bs=128, moe_tokens=256, global_bs=256","AFTER: per_replica_bs=64, moe_tokens=128, global_bs=128 (real gathered decode tokens ~= 128)",2.00,dp>1: per-replica bs and MoE token-count halved -> match real,kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397j_dp_concurrency_split,multi_config_before_after,K2.5-tp8ep8-8k2k,sim_tok_s_gpu_before_vs_after_vs_real_0p17,"real=133.53, sim_before=82.83 (1.61x)",sim_after=82.83 (1.61x),0.6203,dp=1 bit-for-bit unchanged,kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397j_dp_concurrency_split,multi_config_before_after,K2.5-tp8ep8-32k3k,sim_tok_s_gpu_before_vs_after_vs_real_0p17,"real=52.47, sim_before=64.84 (1.24x)",sim_after=64.84 (1.24x),1.2357,dp=1 bit-for-bit unchanged,kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397j_dp_concurrency_split,multi_config_before_after,K2.5-tp4ep8dp2-8k2k,sim_tok_s_gpu_before_vs_after_vs_real_0p17,"real=137.72, sim_before=149.68 (1.09x)",sim_after=82.74 (1.66x),0.6008,dp>1 err now shows the tp8-shared under-prediction,kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397j_dp_concurrency_split,multi_config_before_after,K2.5-tp4ep8dp2-32k3k,sim_tok_s_gpu_before_vs_after_vs_real_0p17,"real=53.28, sim_before=115.78 (2.17x)",sim_after=57.06 (1.07x),1.0710,dp>1 err improves,kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397j_dp_concurrency_split,multi_config_before_after,K2.5-tp8ep8-8k2k-bt65536,sim_tok_s_gpu_before_vs_after_vs_real_0p17,"real=138.47, sim_before=82.78 (1.67x)",sim_after=82.78 (1.67x),0.5978,dp=1 bit-for-bit unchanged,kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397j_dp_concurrency_split,multi_config_before_after,K2.5-tp4ep8dp2-8k2k-bt65536,sim_tok_s_gpu_before_vs_after_vs_real_0p17,"real=155.95, sim_before=149.06 (1.05x)",sim_after=82.55 (1.89x),0.5293,dp>1 err now shows the tp8-shared under-prediction,kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397j_dp_concurrency_split,ratio_fix,8k2k,tp8_over_tp4dp2_per_gpu_ratio_vs_real,"real ratio=0.970; sim BEFORE=0.553 (|err|=0.416, tp4dp2 looked ~1.8x faster than tp8)","sim AFTER=1.001 (|err|=0.031, tp8 ~= tp4dp2 like real)",1.0010,RATIO FIXED: sim ranking now matches real,kimi-k2.5,h200_sxm,0.12.0,0.17,ep8_multi_config,,true,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
