source,row_type,scenario,metric,value_a,value_b,ratio,verdict,model,hardware,vllm_db_version,topology,next_allowed_phase,runtime_modified,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase397h_ep8_dispatch_comm_verification,hypothesis_under_test,,verify_397g_ep_comm_undermodeled,397g (corrected) attributed the ep8 residual to under-modeled EP all-to-all communication (owed ~20ms tp8dp1 to ~116ms tp4dp2),"397h forensics test the mechanism: dispatch branch, measured ep8 comm module, MLA tp-dependence, prefill-stripped owed",,REFUTED below -- comm is small and correctly structured; the residual is prefill/mixed accounting,kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,dispatch_branch,tp8ep8dp1,vllm_moedispatch_branch,attention_tp=8 attention_dp=1 decode_tokens=128,branch=vllm_additive_allreduce_only(dp=1); sim dispatch total=2.042ms,,allreduce-only since attention_dp=1 (no cross-dp term),kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,dispatch_branch,tp4ep8dp2,vllm_moedispatch_branch,attention_tp=4 attention_dp=2 decode_tokens=256,branch=vllm_additive_allreduce+dp_allgather/reducescatter; sim dispatch total=4.789ms,,"ADDITIVE allreduce+dp_comm (operations.py:776-788), NOT if/elif; dp term IS charged",kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,measured_comm_compare,tp4ep8dp2,measured_ep8_comm_all_layer_vs_sim,measured ep8_comm_dispatch_combine=0.2890ms/call (v0.19.0); implied_moe_calls=44.9 (generation_moe/measured_fusedmoe) -> all-layer ~=13.0ms,sim synthetic dispatch=4.789ms; sim under-counts comm by only ~8ms,2.7077,measured comm ~13ms << owed ~116ms -> EP comm is NOT the gap,kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,mla_tp_probe,tp8ep8dp1,num_heads_per_gpu_vs_attention_ms,"num_heads//tp=8 (num_heads=64, tp=8)",gen_attention bs128=21.736ms bs256=40.054ms,,"attention flat across tp despite heads/gpu doubling -> KV/latency-bound, correctly TP-independent, must NOT be 1/tp scaled",kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,mla_tp_probe,tp4ep8dp2,num_heads_per_gpu_vs_attention_ms,"num_heads//tp=16 (num_heads=64, tp=4)",gen_attention bs128=21.523ms bs256=40.301ms,,"attention flat across tp despite heads/gpu doubling -> KV/latency-bound, correctly TP-independent, must NOT be 1/tp scaled",kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,mla_tp_probe,tp4_over_tp8,attention_ratio_heads_doubled,heads/gpu 8->16 (2x),attn bs128 ratio=0.9902,0.9902,"flat (~1.0x) confirms latency-bound, not head-bound",kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,owed_magnitude_bounds,tp8ep8-8k2k,sim_steady_iter_vs_aggregate_derived,"sim steady decode iter=103.0ms (budget-breakdown, overhead=0)",aggregate-derived iter=119.8ms (bs/(real_out*tp)); over-predict @ovh0=1.16x,1.1637,sim steady iter close to aggregate,kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,owed_magnitude_bounds,tp8ep8-32k3k,sim_steady_iter_vs_aggregate_derived,"sim steady decode iter=156.7ms (budget-breakdown, overhead=0)",aggregate-derived iter=304.9ms (bs/(real_out*tp)); over-predict @ovh0=1.95x,1.9461,aggregate-derived iter is prefill-inflated (>1.5x sim steady); 232ms is NOT a decode iter,kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,owed_magnitude_bounds,tp4ep8dp2-8k2k,sim_steady_iter_vs_aggregate_derived,"sim steady decode iter=123.6ms (budget-breakdown, overhead=0)",aggregate-derived iter=232.4ms (bs/(real_out*tp)); over-predict @ovh0=1.88x,1.8801,aggregate-derived iter is prefill-inflated (>1.5x sim steady); 232ms is NOT a decode iter,kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,owed_magnitude_bounds,tp4ep8dp2-32k3k,sim_steady_iter_vs_aggregate_derived,"sim steady decode iter=186.3ms (budget-breakdown, overhead=0)",aggregate-derived iter=600.6ms (bs/(real_out*tp)); over-predict @ovh0=3.22x,3.2240,aggregate-derived iter is prefill-inflated (>1.5x sim steady); 232ms is NOT a decode iter,kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397h_ep8_dispatch_comm_verification,isl_scaling_signature,,overpredict_grows_with_isl,tp8ep8: 8k2k=1.16x -> 32k3k=1.95x,tp4ep8dp2: 8k2k=1.88x -> 32k3k=3.22x,,"over-prediction grows with isl at fixed tp -> prefill/mixed accounting signature, not a fixed per-decode-iter comm gap",kimi-k2.5,h200_sxm,0.12.0,ep8_multi_config,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
