source,row_type,verdict,phase381_prerequisite,module_table_exact_keys,table_row_count,module_count,bucket_count,allowed_bucket_tokens,module_boundaries,ep8_bucket_formula,fusedmoe_bucket_formula,ep8_reachable_buckets,fusedmoe_reachable_buckets,fusedmoe_unreachable_buckets,paired_lookup_required,paired_lookup_candidates,paired_lookup_candidate_count,combined_full_model_status,op_level_runtime_binding_sufficient,full_model_runtime_exact_lookup_sufficient,next_allowed_phase,new_perfdb_data,gpu_allowed,ssh_allowed,default_aic_allowed,interpolation_allowed,extrapolation_allowed,nearest_bucket_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase382_runtime_binding_probe_sufficiency_gate,phase381_prerequisite,phase381_local_exact_lookup_op_level_passed,local_exact_lookup_passed,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,,,,,,,,blocked_by_bucket_mapping,true,false,,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,module_table_exact_key_inventory,module_table_inventory_locked,,2_modules_x_7_buckets,14,2,7,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,,,,,,,,,false,false,,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,runtime_bucket_formula_current,current_formula_captured,,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,"max(1, raw_tokens//4)","max(1, raw_tokens//4)*2",,,,,,,,false,false,,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,ep8_runtime_bucket_reachability,all_registered_buckets_reachable,,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,"max(1, raw_tokens//4)",,1/15/16/241/1808/2048/8192,,,,,,,false,false,,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,fusedmoe_runtime_bucket_reachability,partial_registered_bucket_reachability,,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,"max(1, raw_tokens//4)*2",,16/1808/2048/8192,1/15/241,,,,,false,false,,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,full_model_paired_lookup_requirement,requires_registered_b_and_2b_pair,,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,"max(1, raw_tokens//4)","max(1, raw_tokens//4)*2",,,,bucket_b_and_2b_both_registered,,,,false,false,,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,paired_lookup_candidate_gap,no_common_raw_token_pair,,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,,,,,bucket_b_and_2b_both_registered,,0,,false,false,,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,op_level_runtime_binding_sufficient,op_level_binding_sufficient_for_next_gate,,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,,,,,,,,,true,false,,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,full_model_runtime_exact_lookup_blocked,full_model_blocked_by_bucket_semantics,,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,,,,,,,,blocked_by_bucket_mapping,false,false,phase383_runtime_bucket_semantics_decision_spec,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,default_aic_blocked,blocked_default_aic_no_go,,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,,,,,,,,,false,false,,false,false,false,false,false,false,false,No-Go,true,false,false
phase382_runtime_binding_probe_sufficiency_gate,next_phase,phase383_runtime_bucket_semantics_decision_spec,,,,,,1/15/16/241/1808/2048/8192,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,,,,,,,,,false,false,phase383_runtime_bucket_semantics_decision_spec,false,false,false,false,false,false,false,No-Go,true,false,false
