constant,current_value,source,measured_scope,scaling_rule,classification,destination,rationale
backend_version_dispatch,vllm/0.19.0,arrival.py:resolve_tokenizer_primitive,backend version,exact version key,version_semantic_profile,backend semantic profile resolver,"The state machine is source-version semantics, not workload timing."
null_block_reserve,1 block per BlockPool,datatypes.py:VLLM_NULL_BLOCKS_PER_POOL,vLLM 0.19.0 BlockPool,none,version_semantic_profile,profile.null_blocks_per_pool,Source-defined allocatable-capacity semantics.
batch_queue_depth,2,tokenizer_primitives.json:engine_loop.queue_depth,"vLLM 0.19.0, PP=1",none,version_semantic_profile,profile.batch_queue_depth,EngineCore in-flight structure is version semantics; it is misplaced in the measured tokenizer row.
async_scheduling,true,tokenizer_primitives.json:engine_loop.async_scheduling,"vLLM 0.19.0, PP=1",none,version_semantic_profile,profile.async_scheduling,Selects the source-defined non-blocking EngineCore path.
engine_loop_pp_applicability,pipeline_parallel_size=1,tokenizer_primitives.json:engine_loop.pipeline_parallel_size,vLLM 0.19.0,exact topology predicate,version_semantic_profile,profile.applicability.pipeline_parallel_sizes,"Applicability is a version/topology contract, not a measured delay."
sampled_computed_placeholder_lifecycle,source-aligned three-state counters,engine_loop.py:AsyncCBScheduler; simulator.py:_run_single_engine_loop,vLLM 0.19.0,none,version_semantic_profile,profile.request_progress_semantics,Determines scheduler-visible progress and completion ordering.
preemption_victim_policy,running tail,scheduler.py:_ensure_block_capacity,vLLM 0.19.0,none,version_semantic_profile,profile.preemption_victim_policy,Source-defined scheduler policy.
admission_after_preemption,stop new admission in the same step,engine_loop.py:AsyncCBScheduler._next_waiting_candidate,vLLM 0.19.0,none,version_semantic_profile,profile.admission.stop_after_preemption,Source-defined same-step admission rule.
running_then_waiting_order,"running first, waiting second",scheduler.py:schedule,vLLM 0.19.0,none,version_semantic_profile,profile.admission.queue_order,Scheduler ordering changes capacity and victim outcomes.
partial_prefill_admission,stop after one partial prefill,scheduler.py:schedule,vLLM 0.19.0,none,version_semantic_profile,profile.chunking.stop_after_partial_prefill,Source-defined chunking/admission interaction.
completion_release_order,future completion then release/replacement submission,simulator.py:_run_single_engine_loop.on_complete,vLLM 0.19.0,none,version_semantic_profile,profile.completion_release_order,Step2c-7 verified the source-aligned two-boundary ordering.
tokenizer_ms_per_prompt_token,0.001003614837 ms/token,tokenizer_primitives.json:formula.ms_per_prompt_token,"Kimi-K2.5, H200, vLLM 0.19.0, 8k/32k",multiply by measured prompt tokens,physical_scaling,optional tokenizer model parameter,Token work has a physical token-count axis; the coefficient remains measurement-derived.
tokenizer_intercept_ms,0.029270374 ms,tokenizer_primitives.json:formula.intercept_ms,"Kimi-K2.5, H200, vLLM 0.19.0, N128 short runs",constant only inside the measured scope,scoped_measurement,scoped tokenizer measurement row,No source-defined cross-deployment scaling law.
tokenizer_ms_per_request,-0.604326979 ms/request,tokenizer_primitives.json:formula.ms_per_request,"Kimi-K2.5, H200, vLLM 0.19.0, batch 1-32",linear only inside the measured scope,scoped_measurement,scoped tokenizer measurement row,The fitted negative coefficient is not a portable physical constant.
tokenizer_support_scope,"prompt={8000,32000}, batch=1..32",tokenizer_primitives.json:support,two ISLs and one deployment,exact scope match,scoped_measurement,scoped tokenizer measurement row key,"This is measured coverage, not engine semantics."
tokenizer_fit_error,WMAPE=0.0591528581,tokenizer_primitives.json:weighted_mape,780 measured batches,none,scoped_measurement,scoped tokenizer measurement metadata,Quality metadata belongs with the measured row.
tokenizer_max_batch_size,32 requests,tokenizer_primitives.json:runtime.max_batch_size,api-server tokenizer deployment,none,remove_from_default_path,optional diagnostic arrival component,Client/api-server batching is deployment-specific and outside EngineCore semantics.
tokenizer_wait_timeout,2.0 ms,tokenizer_primitives.json:runtime.wait_timeout_ms,api-server tokenizer deployment,none,remove_from_default_path,optional diagnostic arrival component,"The aggregation window is deployment cadence, not backend-core semantics."
tokenizer_workers,1,tokenizer_primitives.json:runtime.workers,api-server tokenizer deployment,none,remove_from_default_path,optional diagnostic arrival component,Worker count is deployment topology.
initial_workload_exposure,closed-loop initial requests submitted at t=0,simulator.py:_run_single_engine_loop,benchmark harness,none,remove_from_default_path,optional diagnostic arrival component,Exposure cadence is a client/HTTP/api-server boundary.
replacement_exposure,submit replacement at prior future completion,simulator.py:_run_single_engine_loop.on_complete,closed-loop benchmark harness,none,remove_from_default_path,optional diagnostic arrival component,"Replacement submission timing is harness behavior, not scheduler semantics."
