source,row_type,scenario,metric,sim_value,real_value,ratio_or_share,verdict,model,hardware,vllm_version,topology,next_allowed_phase,runtime_modified,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase397a_tp16_decode_wall_decomposition,model_constants,,num_layers;nextn;mtp_scale_factor;local_heads_tp16,num_layers=61;nextn=0;mtp_scale_factor=1.0;local_heads_tp16=4,,,real_kimi_values: gen_attn=mla_per_layer*61*1.0; layer_count_and_mtp_cannot_inflate_1.5x -> RULED_OUT; route_beta_target_row_is_mla_num_heads=4_single_gpu,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase397a_tp16_decode_wall_decomposition,overcount_canonical,10k3k_b128,steady_wall_ms_sim_vs_real_implied,796040,524812,1.517x,canonical_run_agg; tok_s_gpu=59.01; avg_prefill_reqs_per_iter=0.084,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase397a_tp16_decode_wall_decomposition,overcount_canonical,10k2k_b32,steady_wall_ms_sim_vs_real_implied,496487,340553,1.458x,canonical_run_agg; tok_s_gpu=34.16; avg_prefill_reqs_per_iter=0.028,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase397a_tp16_decode_wall_decomposition,overcount_canonical,16k2k_b32,steady_wall_ms_sim_vs_real_implied,545446,406704,1.341x,canonical_run_agg; tok_s_gpu=31.09; avg_prefill_reqs_per_iter=0.028,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase397a_tp16_decode_wall_decomposition,wall_decomposition,10k3k_b128,steady_wall_shares_prefill_mixed_decode,prefill=0.0%;mixed=10.0%;decode_incl_skip_trapezoid=90.0%,,decode_share=90.0%,pure_decode_skip_trapezoid_dominates; prefill_ruled_out; mixed_minor,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase397a_tp16_decode_wall_decomposition,wall_decomposition,10k2k_b32,steady_wall_shares_prefill_mixed_decode,prefill=0.0%;mixed=8.0%;decode_incl_skip_trapezoid=92.0%,,decode_share=92.0%,pure_decode_skip_trapezoid_dominates; prefill_ruled_out; mixed_minor,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase397a_tp16_decode_wall_decomposition,wall_decomposition,16k2k_b32,steady_wall_shares_prefill_mixed_decode,prefill=0.0%;mixed=9.5%;decode_incl_skip_trapezoid=90.5%,,decode_share=90.5%,pure_decode_skip_trapezoid_dominates; prefill_ruled_out; mixed_minor,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase397a_tp16_decode_wall_decomposition,decode_is_attention_bound,,pure_decode_iter_lat_composition,"iter_lat=max(gen_attn,gen_non_attn)=gen_attn",,,overlap_factor0_masks_gen_non_attn_moe_gemm; decode_wall=integral_of_mla_gen_attn_over_kv,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase397a_tp16_decode_wall_decomposition,locate_experiment,10k3k_b128,decode_component_div_1.5_vs_real_implied_wall,,524812,1.062x,dividing_only_decode_by_1.5_converges_to_real_within_~6%; overcount_concentrated_in_decode_not_broad,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase397a_tp16_decode_wall_decomposition,locate_experiment,10k2k_b32,decode_component_div_1.5_vs_real_implied_wall,,340553,1.011x,dividing_only_decode_by_1.5_converges_to_real_within_~6%; overcount_concentrated_in_decode_not_broad,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
