source,row_type,scenario,metric,fresh_value,stored_value,ratio,verdict,model,hardware,stored_vllm_version,fresh_vllm_version,topology,next_allowed_phase,runtime_modified,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase397b_tp16_mla_decode_vs_kv_remeasure,measurement_provenance,,fresh_kernel;num_heads;dtype;kernel_source;caveat,vllm=0.19.0;forward_mqa;num_heads=4;float16;vllm_flash_attn_mla;single_gpu_h200_driver570.133.20,vllm=0.12.0;num_heads=4;float16;vllm_flash_attn_mla;shipped_generation_mla_perf.txt,,provenance_matched_global128_tp32_local4; fresh_forward_mqa_EXCLUDES_absorption_gemm_and_kv_write -> fresh_is_LOWER_bound; memory_bound_at_operating_kv_so_version_drift_not_1.5x,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,route_beta_expectation,,confirm_ratio_if_table_1.5x_too_high,,,0.667,confirm_would_need_fresh_over_stored_~0.66_across_decode_band_especially_gate_scenario,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,pointwise_ratio,b128_kv8191,fresh_over_stored_num_heads4_decode_band,0.44054,0.32821,1.342,fresh_higher_than_stored,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,pointwise_ratio,b128_kv16383,fresh_over_stored_num_heads4_decode_band,0.85527,0.59606,1.435,fresh_higher_than_stored,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,pointwise_ratio,b128_kv32767,fresh_over_stored_num_heads4_decode_band,1.68142,1.14990,1.462,fresh_higher_than_stored,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,pointwise_ratio,b32_kv8191,fresh_over_stored_num_heads4_decode_band,0.12732,0.16859,0.755,fresh_lower_than_stored,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,pointwise_ratio,b32_kv16383,fresh_over_stored_num_heads4_decode_band,0.23046,0.25930,0.889,fresh_lower_than_stored,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,operating_point,10k3k_b128,fresh_vs_stored_interp_b128_kv11500,0.60807,0.43640,1.393,overcount=1.517x; fresh_HIGHER_than_stored_opposite_of_route_beta,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,operating_point,10k2k_b32,fresh_vs_stored_interp_b32_kv11000,0.16269,0.19970,0.815,overcount=1.458x; fresh_lower_but_far_from_0.66_table_not_1.5x_high,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,operating_point,16k2k_b32,fresh_vs_stored_interp_b32_kv17000,0.23829,0.29358,0.812,overcount=1.341x; fresh_lower_but_far_from_0.66_table_not_1.5x_high,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,ruled_out,,route_beta_table_1.5x_too_high,,,1.393,REFUTED: gate_scenario_fresh_over_stored=1.393_(fresh_higher); no_consistent_0.66_ratio; b32_scenarios_~0.81_partly_stored_noise; decode_mla_per_kv_table_values_are_NOT_the_locus,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,verdict,,standing_overcount_locus,,,,decode_mla_vs_kv_table_values_CLEARED; overcount_lives_in_decode_accumulation_composition: kv_growth_trapezoid_iter_count_or_kv_trajectory; missing_decode_overlap_overlap_factor0_serial_sum; missing_mtp_speculative_multitoken_nextn0_vs_config_num_nextn_predict_layers1,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,phase397c_route_delta_decode_accumulation_composition,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
phase397b_tp16_mla_decode_vs_kv_remeasure,next_phase,,route_delta_target,,,,route_delta_phase397c: investigate_decode_accumulation_composition_NOT_the_table; enumerate_trapezoid_iter_count_overlap_and_mtp; route_gamma_freeze_legacy_0.12.0_still_valid,kimi-k2.5,h200_sxm,0.12.0,0.19.0,tp16dp1,phase397c_route_delta_decode_accumulation_composition,false,false,true,false,false,false,false,true,true,false,No-Go,true,false,false
