source,row_type,scenario,metric,value_a,value_b,ratio,verdict,model,hardware,vllm_db_version,topology,next_allowed_phase,runtime_modified,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase397f_decode_periter_composition_fix,runtime_change,,iteration_latency.py pure-decode composition fix,_split_generation_non_attention: drop /tp on generation_moe* (per-rank),pure-decode total = generation_non_attn + gen_attn (serial sum); removed dead _scale_generation_non_attention,,pure-decode-local only; overlap_factor and mixed/prefill branches untouched,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
phase397f_decode_periter_composition_fix,periter_after,10k3k_b128,per_iter_after_serialsum_vs_real,per_iter_after=77.72ms,real_decode_iter=89.39ms,0.8695,fixed pure-decode iter = raw non-attn + attn (serial); ~real +/-13%,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
phase397f_decode_periter_composition_fix,periter_after,10k2k_b32,per_iter_after_serialsum_vs_real,per_iter_after=44.61ms,real_decode_iter=40.16ms,1.1107,fixed pure-decode iter = raw non-attn + attn (serial); ~real +/-13%,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
phase397f_decode_periter_composition_fix,periter_after,16k2k_b32,per_iter_after_serialsum_vs_real,per_iter_after=50.33ms,real_decode_iter=47.96ms,1.0494,fixed pure-decode iter = raw non-attn + attn (serial); ~real +/-13%,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
phase397f_decode_periter_composition_fix,fulltable_before_after,,throughput_max_abs_err,before=4.13x,after=1.44x (gate 1.499),1.4400,PASS,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
phase397f_decode_periter_composition_fix,fulltable_before_after,,throughput_mean_abs_err,before=2.43x,after=1.18x,1.1800,tp16 throughput path structurally improved,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
phase397f_decode_periter_composition_fix,fulltable_before_after,,multi_config_max_abs_err,before=3.26x,after=2.17x (gate 1.470),2.1700,FAIL,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
phase397f_decode_periter_composition_fix,fulltable_before_after,,multi_config_mean_abs_err,before=1.75x,after=1.47x,1.4700,ep8/dp2 residual remains,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
phase397f_decode_periter_composition_fix,fulltable_before_after,,ttft_max_abs_err_threshold,before=1.79x,after=1.79x (gate 1.790),1.7900,"PASS (prefill-side, unchanged)",kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
phase397f_decode_periter_composition_fix,per_config_regression,K2.5-tp8ep8-8k2k,abs_err_before_vs_after,before=1.02x(ratio 1.02),after=1.61x(ratio 0.62),1.6129,REGRESSED (over-corrected),kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,true,false,true,false,false,false,false,false,false,false,No-Go,false,false,false
