section,scenario,metric,value,target,status,source,note
sim_first_preemption,K2.5-tp8ep8-32k3k,local_iter,944,,observed_exact,current N=512 sim decision hook,replica=0; trigger=DECODING
sim_first_preemption,K2.5-tp8ep8-32k3k,scheduled_demand_minus_capacity_blocks,1,>0 enters capacity handling,preempt_triggered,current N=512 sim decision hook,total=28826; capacity=28825; trigger_req=13; victim=13
sim_first_preemption,K2.5-tp8ep8-32k3k,state,"running=14,waiting=114",,observed_exact,current N=512 sim decision hook,generated=928; kv=32928
real_first_preemption,K2.5-tp8ep8-32k3k,counter_bracket_seconds,2.0047900676727295,decision-point timestamp,insufficient_precision,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/metrics.jsonl.gz,counter 0->1; delta=1; precision=scrape_interval_only
real_first_preemption,K2.5-tp8ep8-32k3k,iteration_rows_in_bracket,96,1 decision-aligned row,ambiguous,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,INFO iteration rows have composition but no victim or block-allocation state
real_first_preemption,K2.5-tp8ep8-32k3k,scrape_end_state,"running=13.0,waiting=115.0,kv_usage=0.9312725506522342",decision-point block ledger,aggregate_only,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/metrics.jsonl.gz,state is sampled after one or more decisions in the 2s interval
real_first_preemption,K2.5-tp8ep8-32k3k,prefix_caching,False,,excluded_candidate,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,startup args explicitly set enable_prefix_caching=False
observability_gate,K2.5-tp8ep8-32k3k,status,blocked,all decision fields observed,blocked,Phase458 INFO log + 2s metrics,"missing=decision_timestamp,free_blocks_before,requested_blocks,trigger_request_id,victim_queue_position,victim_request_id"
sign_prediction,K2.5-tp8ep8-8k2k,preemption_fix_sim_throughput_increase,worsen,error_ratio<=1.15,current_pass_at_risk,docs/iter_gap_investigation/phase461_step4b_final_ab.csv,real=146.639701; sim=166.072957; current_ratio=1.132524; max_increase_before_fail=0.015431
sign_prediction,K2.5-tp4ep8dp2-8k2k,preemption_fix_sim_throughput_increase,improve_until_crossing,error_ratio<=1.15,current_pass_not_immediately_at_risk,docs/iter_gap_investigation/phase461_step4b_final_ab.csv,real=162.948516; sim=156.483788; current_ratio=1.041312; max_increase_before_fail=0.197509
sign_prediction,K2.5-tp8ep8-8k2k-bt65536,preemption_fix_sim_throughput_increase,worsen,error_ratio<=1.15,current_fail_worsens,docs/iter_gap_investigation/phase461_step4b_final_ab.csv,real=124.016988; sim=153.101636; current_ratio=1.234521; max_increase_before_fail=-0.068465
sign_prediction,K2.5-tp4ep8dp2-8k2k-bt65536,preemption_fix_sim_throughput_increase,worsen,error_ratio<=1.15,current_fail_worsens,docs/iter_gap_investigation/phase461_step4b_final_ab.csv,real=109.499911; sim=129.707417; current_ratio=1.184544; max_increase_before_fail=-0.029162
sign_prediction,K2.5-tp4ep8dp2-32k3k,preemption_fix_sim_throughput_increase,worsen,error_ratio<=1.15,current_fail_worsens,docs/iter_gap_investigation/phase461_step4b_final_ab.csv,real=53.277429; sim=62.511382; current_ratio=1.173318; max_increase_before_fail=-0.019874
sign_prediction,K2.5-tp8ep8-32k3k,preemption_fix_sim_throughput_increase,improve_until_crossing,error_ratio<=1.15,current_pass_not_immediately_at_risk,docs/iter_gap_investigation/phase461_step4b_final_ab.csv,real=50.111595; sim=45.407582; current_ratio=1.103595; max_increase_before_fail=0.269135
decision,K2.5-tp8ep8-32k3k,step2a_verdict,real_decision_state_insufficient,unique source-backed semantic difference,blocked,observability gate,"2s counter bracket cannot distinguish block ledger, victim choice, or admission state"
decision,K2.5-tp8ep8-32k3k,step2b_required,True,only when Step2a real state is insufficient,triggered,observability gate,selected=K2.5-tp8ep8-32k3k; sim_over_real=4.619048
decision,K2.5-tp8ep8-32k3k,runtime_fix_allowed,False,unique semantic verdict after real decision logging,blocked,Phase462 discipline,"Step2c remains locked; no runtime, PerfDB, or gate change"
decision,K2.5-tp8ep8-32k3k,default_aic,No-Go,6/6 <= 1.15,No-Go,Phase461 scorecard,
