source,row_type,scenario,metric,value_a,value_b,ratio,verdict,model,hardware,vllm_db_version,topology,next_allowed_phase,runtime_modified,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase397e_decode_periter_composition_offline,table_semantics_verdict,,generation_moe_table_value_scope,per_rank_single_gpu_wall_time,"TP encoded in moe_tp_size/topology lookup key, no post-lookup /tp",,perf_database.py load_moe_data/query_moe/query_vllm_module do NOT divide by tp; collector/vllm/collect_moe.py runs 1 GPU with sharded weights + full num_tokens; operations.py MoE.query passes moe_tp_size as key and scales only by num_layers*mtp,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,double_count_proof,10k3k_b128,gen_non_attn_raw_vs_div_tp,raw=51.1034ms,div_tp=6.8851ms,7.422,_split_generation_non_attention divides per-rank generation_moe* by tp_size AGAIN -> double-count (per-rank value crushed ~16x),kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,double_count_proof,10k2k_b32,gen_non_attn_raw_vs_div_tp,raw=32.4249ms,div_tp=5.2816ms,6.139,_split_generation_non_attention divides per-rank generation_moe* by tp_size AGAIN -> double-count (per-rank value crushed ~16x),kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,double_count_proof,16k2k_b32,gen_non_attn_raw_vs_div_tp,raw=32.4249ms,div_tp=5.2816ms,6.139,_split_generation_non_attention divides per-rank generation_moe* by tp_size AGAIN -> double-count (per-rank value crushed ~16x),kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,dead_code,,_scale_generation_non_attention,defined iteration_latency.py:92-109,"no caller (only _split_generation_non_attention runs, line 266)",,dead code; 397f should remove alongside the /tp fix,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,periter_reconciliation,10k3k_b128,current_div_max__vs__raw_sum__vs__real_decode_iter,"current(/tp,max)=26.62ms(0.30x); raw_max=51.10ms(0.57x)",raw_sum=77.72ms(0.87x); real_decode_iter=89.39ms,0.8695,current under-counts ~3x; raw+max still under; raw+SUM lands within ~13% of real -> decode attn and non-attn are serial,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,periter_reconciliation,10k2k_b32,current_div_max__vs__raw_sum__vs__real_decode_iter,"current(/tp,max)=12.18ms(0.30x); raw_max=32.42ms(0.81x)",raw_sum=44.61ms(1.11x); real_decode_iter=40.16ms,1.1107,current under-counts ~3x; raw+max still under; raw+SUM lands within ~13% of real -> decode attn and non-attn are serial,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,periter_reconciliation,16k2k_b32,current_div_max__vs__raw_sum__vs__real_decode_iter,"current(/tp,max)=17.91ms(0.37x); raw_max=32.42ms(0.68x)",raw_sum=50.33ms(1.05x); real_decode_iter=47.96ms,1.0494,current under-counts ~3x; raw+max still under; raw+SUM lands within ~13% of real -> decode attn and non-attn are serial,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,coupled_errors,,two_coupled_decode_composition_errors,(1) /tp double-count on generation_moe* (per-rank crushed ~16x),(2) overlap_factor=0 max() drops the smaller of attn/non_attn (pure-decode attn+MoE are SERIAL -> should sum),,both must be fixed together; 397c 'overlap ruled out' was narrow -- the /tp under-count had already masked the non-attention term so max-vs-sum did not matter then,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,target_397f,10k3k_b128,decode_per_iter_target,target=gen_non_attn_raw+gen_attn=77.72ms,real_decode_iter=89.39ms,0.8695,"397f should land pure-decode iter at ~this target (raw non-attn + attn, serial)",kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,target_397f,10k2k_b32,decode_per_iter_target,target=gen_non_attn_raw+gen_attn=44.61ms,real_decode_iter=40.16ms,1.1107,"397f should land pure-decode iter at ~this target (raw non-attn + attn, serial)",kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,target_397f,16k2k_b32,decode_per_iter_target,target=gen_non_attn_raw+gen_attn=50.33ms,real_decode_iter=47.96ms,1.0494,"397f should land pure-decode iter at ~this target (raw non-attn + attn, serial)",kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,candidate_fixes,,phase397f_change_set,"(i) drop /tp on generation_moe* in _split_generation_non_attention; (ii) pure-decode composition = serial sum(non_attn, attn)","(iii) remove dead _scale_generation_non_attention; (iv) WATCH decode num_tokens/topk & moe_tp-vs-ep routing (raw already near target, likely no change)",,enumerated for 397f; not implemented here,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,verdict,,decode_periter_composition_root_cause,,,,"generation_moe table is per-rank; the /tp_size in _split_generation_non_attention is a double-count, and overlap_factor=0 max() wrongly drops the serial non-attention term; owed decode per-iter = gen_non_attn_raw + gen_attn (serial), ~real +/-13%",kimi-k2.5,h200_sxm,0.12.0,tp16dp1,phase397f_decode_periter_composition_fix,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
phase397e_decode_periter_composition_offline,next_phase,,route_delta_step3_target,,,,phase397f runtime fix: drop the generation_moe* /tp double-count AND make pure-decode composition a serial sum; remove dead _scale_generation_non_attention; then re-validate 397d+397e+397f offline on the 3 gates and the validate throughput table,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,phase397f_decode_periter_composition_fix,false,false,true,false,false,false,false,false,false,false,No-Go,true,false,false
