section,metric,value,target,status,note
oracle,drain_step_match,1.0,1.0,pass,
oracle,first_schedule_step_match,1.0,>=0.9375,pass,
oracle,first_16_match,1.0,1.0,pass,
steady,preemptions,10,10+/-2,pass,
steady,steady_self_preemptions,2,0,fail,"[{""step"": 2167, ""trigger_request_id"": 27, ""victim_request_id"": 27, ""victim_preemptions_before"": 0, ""victim_sampled_output_tokens"": 688, ""victim_computed_output_tokens"": 688, ""victim_output_placeholders"": 1, ""recompute_tokens"": 32688, ""metrics_steady_state"": true, ""lifecycle_steady_state"": true}, {""step"": 10616, ""trigger_request_id"": 124, ""victim_request_id"": 124, ""victim_preemptions_before"": 0, ""victim_sampled_output_tokens"": 288, ""victim_computed_output_tokens"": 288, ""victim_output_placeholders"": 1, ""recompute_tokens"": 32288, ""metrics_steady_state"": true, ""lifecycle_steady_state"": true}]"
steady,repeat_victim_events,0,0,pass,
runtime,sim_runtime_seconds,1.5283791670080973,,measured,
preregistered_evidence,phase462_2a3f_self_preemption,"value=2/2; t0_regions={'ramp': 1, 'steady': 1}; oracle_regions={'ramp': 1, 'steady': 1}",steady=0,contradicts_gate,
gate,step2c2,blocked,pass,blocked,steady_state_signature_failed
gate,default_engine_loop,False,False,pass,engine_loop_enabled remains false by default
boundary,multi_replica_engine_loop,deferred_fail_closed,Phase462 Step 3,pass,enabled DP calls raise instead of silently using the legacy loop
boundary,diagnostic_only,True,,pass,
boundary,valid_for_default,False,,pass,
boundary,perf_database,False,,pass,
boundary,default_aic,No-Go,,blocked,
